Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Puppy Love,Paul Anka,2:41,4,0.234,0.443,7,-7.605,1,0.0361,0.701,0,0.25,0.448,68.69,57,1960
Handy Man,Jimmy Jones,3:16,4,0.804,0.233,2,-14.17,1,0.0312,0.64,0.106,0.0854,0.583,90.639,56,1960
Georgia On My Mind,Ray Charles,3:39,4,0.19,0.323,7,-12.405,1,0.0303,0.626,0.00000217,0.176,0.281,94.34,56,1960
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,2:23,4,0.814,0.427,2,-11.543,1,0.0918,0.558,0,0.0248,0.964,123.109,55,1960
Let It Be Me,The Everly Brothers,4:40,3,0.614,0.283,0,-8.008,1,0.027,0.472,0,0.114,0.331,107.673,54,1960
Mr. Custer,Larry Verne,2:56,4,0.704,0.865,9,-5.44,0,0.0476,0.296,0.000473,0.296,0.923,147.08,52,1960
Lady Luck,Lloyd Price,5:14,4,0.362,0.398,8,-13.582,1,0.0465,0.737,0,0.282,0.5,151.186,52,1960
I Want To Be Wanted,Brenda Lee,12:20,3,0.13,0.0986,6,-25.793,0,0.0402,0.958,0.785,0.13,0.0904,87.797,51,1960
You Talk Too Much,Joe Jones,3:06,4,0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,51,1960
Walking To New Orleans,Fats Domino,1:58,4,0.582,0.289,1,-14.339,1,0.0465,0.518,0,0.107,0.743,80.75,50,1960
Cradle Of Love,Johnny Preston,4:41,4,0.612,0.942,3,-4.588,1,0.0399,0.0163,0.0000039,0.0909,0.622,144.038,50,1960
My Little Corner Of The World,Anita Bryant,2:25,4,0.567,0.333,3,-14.596,1,0.0289,0.86,0.929,0.0972,0.625,130.459,49,1960
"Please Help Me, I’m Falling",Hank Locklin,2:24,4,0.557,0.388,7,-9.464,1,0.0259,0.731,0,0.306,0.504,107.951,49,1960
Yogi,the Ivy Three,1:32,4,0.83,0.305,8,-11.969,1,0.0978,0.6,0,0.229,0.564,119.92,49,1960
"Walk, Don’t Run",The Ventures,2:02,4,0.488,0.648,5,-13.252,1,0.0305,0.852,0.914,0.13,0.949,156.35,49,1960
Everybody’s Somebody’s Fool,Connie Francis,2:37,4,0.584,0.737,1,-4.643,1,0.0306,0.745,0.0000193,0.208,0.753,84.322,48,1960
Baby (YOU’VE Got What It Takes),Dinah Washington & Brook Benton,2:48,4,0.701,0.454,3,-11.871,1,0.0409,0.834,0.000138,0.449,0.819,132.297,48,1960
You Got What It Takes,Marv Johnson,2:48,4,0.701,0.454,3,-11.871,1,0.0409,0.834,0.000138,0.449,0.819,132.297,48,1960
Burning Bridges,Jack Scott,4:01,4,0.447,0.356,10,-7.596,0,0.0275,0.599,0.00000266,0.103,0.333,157.628,47,1960
Tell Laura I Love Her,Ray Peterson,2:57,4,0.508,0.475,10,-8.436,1,0.032,0.758,0,0.132,0.235,102.38,47,1960
Chain Gang,Sam Cooke,3:51,4,0.631,0.732,1,-4.706,1,0.203,0.0304,0,0.261,0.549,151.779,47,1960
Alley Oop,The Hollywood Argyles,3:35,4,0.879,0.786,11,-5.891,0,0.279,0.0607,0.0000235,0.291,0.545,75.003,47,1960
Go Jimmy Go,Jimmy Clanton,3:23,4,0.796,0.579,11,-8.265,1,0.0941,0.0324,0.0000208,0.0556,0.64,110.009,44,1960
Good Timin’,Jimmy Jones,2:08,4,0.552,0.562,3,-7.682,1,0.0412,0.609,0.000125,0.093,0.971,147.384,44,1960
Harbor Lights,The Platters,3:14,4,0.26,0.29,5,-13.38,1,0.0293,0.913,0.000649,0.153,0.303,78.797,44,1960
Heartaches By The Numbers,Guy Mitchell,2:31,4,0.614,0.562,5,-11.999,1,0.083,0.484,0.00000458,0.12,0.814,171.679,43,1960
Young Emotions,Ricky Nelson,2:49,4,0.487,0.578,1,-6.719,1,0.107,0.118,0.00000256,0.161,0.238,160.097,43,1960
We Got Love,Bobby Rydell,2:39,4,0.786,0.34,11,-15.819,1,0.0285,0.35,0.0139,0.0954,0.8,87.259,42,1960
Sink The Bismarck,Johnny Horton,3:14,4,0.68,0.57,3,-12.388,1,0.0958,0.652,0.0000118,0.0565,0.966,115.894,42,1960
Mule Skinner Blues,The Fendermen,3:08,4,0.57,0.806,11,-9.849,1,0.0536,0.295,0.000221,0.112,0.747,128.873,42,1960
Hound Dog Man,Fabian,2:51,4,0.596,0.347,3,-14.827,0,0.0647,0.851,0.000352,0.353,0.893,146.622,41,1960
Running Bear,Johnny Preston,2:45,4,0.61,0.688,7,-9.308,1,0.0357,0.573,0,0.164,0.761,119.831,41,1960
Pretty Blue Eyes,Steve Lawrence,1:54,4,0.477,0.507,5,-11.802,1,0.0328,0.497,0,0.36,0.864,126.419,40,1960
Greenfields,The Brothers Four,3:02,1,0.466,0.125,11,-20.428,0,0.0372,0.863,0,0.121,0.338,111.43,40,1960
Sixteen Reasons,Connie Stevens,1:58,3,0.339,0.406,10,-8.955,1,0.0319,0.865,0.000011,0.11,0.619,109.783,39,1960
Paper Roses,Anita Bryant,2:38,4,0.359,0.504,8,-10.555,1,0.0349,0.272,0.0000152,0.332,0.73,114.172,38,1960
Devil Or Angel,Bobby Vee,2:26,4,0.668,0.239,5,-13.181,1,0.0332,0.871,0,0.299,0.719,106.937,38,1960
A Rockin’ Good Way (TO Mess Around And Fall In Love),Dinah Washington & Brook Benton,2:28,4,0.792,0.487,8,-11.984,1,0.0619,0.848,0.000164,0.191,0.959,129.911,37,1960
Lonely Blue Boy,Conway Twitty,2:15,3,0.659,0.342,5,-13.709,1,0.0353,0.777,0.0000126,0.248,0.677,112.878,34,1960
Teen Angel,Mark Dinning,3:53,4,0.517,0.955,2,-4.889,1,0.0653,0.000808,0.00671,0.314,0.549,146.994,33,1960
Theme From “THE Apartment”,Ferrante & Teicher,3:01,4,0.488,0.237,5,-17.706,1,0.0286,0.927,0.911,0.111,0.164,95.044,32,1960
It’s Now Or Never,Elvis Presley,3:30,4,0.755,0.615,1,-5.157,0,0.226,0.197,0.00000241,0.117,0.683,93.999,31,1960
Finger Poppin’ Time,Hank Ballard and The Midnighters,2:35,4,0.533,0.759,9,-5.199,1,0.0356,0.0735,0,0.315,0.889,159.373,31,1960
Let The Little Girl Dance,Billy Bland,2:23,4,0.583,0.532,5,-9.449,1,0.0784,0.238,0,0.36,0.962,143.872,29,1960
What In The World’s Come Over You,Jack Scott,2:46,4,0.509,0.204,4,-13.736,1,0.0313,0.783,0.0000125,0.1,0.483,76.709,29,1960
Kiddio,Brook Benton,3:11,4,0.854,0.278,1,-12.581,1,0.0961,0.731,0.0012,0.138,0.694,110.651,28,1960
Tracy’s Theme,Spencer Ross,2:47,4,0.686,0.776,1,-4.894,0,0.197,0.0803,0.00000363,0.102,0.625,92.086,28,1960
Image Of A Girl,The Safaris,2:42,3,0.247,0.359,2,-8.888,1,0.0304,0.794,0,0.0699,0.449,185.652,28,1960
Among My Souvenirs,Connie Francis,2:31,3,0.464,0.447,9,-6.15,1,0.0266,0.464,0.000029,0.165,0.466,109.081,27,1960
Don’t Be Cruel,Bill Black’s Combo,1:50,4,0.421,0.68,0,-14.808,1,0.0362,0.25,0.312,0.926,0.917,99.887,26,1960
Way Down Yonder In New Orleans,Freddy Cannon,2:30,4,0.453,0.714,8,-9.083,1,0.0475,0.749,0.00000202,0.124,0.881,142.737,26,1960
The Big Hurt,Toni Fisher,4:33,4,0.584,0.304,1,-17.307,1,0.0333,0.829,0.0228,0.159,0.603,144.192,26,1960
O Dio Mio,Annette Funicello,2:51,4,0.389,0.412,5,-8.131,1,0.0304,0.192,0.00000311,0.0936,0.363,115.882,23,1960
My Heart Has A Mind Of Its Own,Connie Francis,2:32,4,0.495,0.539,6,-6.088,1,0.0336,0.819,0,0.325,0.715,109.49,23,1960
Mission Bell,Donnie Brooks,3:39,4,0.66,0.871,1,-4.511,0,0.0322,0.0824,0.0000058,0.344,0.755,89.997,22,1960
My Home Town,Paul Anka,2:33,4,0.496,0.404,4,-13.523,0,0.0419,0.169,0.0000535,0.178,0.436,124.061,20,1960
Happy-Go-Lucky Me,Paul Evans,1:57,4,0.718,0.543,9,-11.016,1,0.0502,0.819,0.0206,0.362,0.94,93.954,19,1960
Cathy’s Clown,The Everly Brothers,2:25,4,0.499,0.701,7,-6.128,1,0.0355,0.472,0,0.263,0.88,120.24,18,1960
Swingin’ School,Bobby Rydell,2:14,3,0.524,0.762,5,-5.473,1,0.0329,0.64,0.00000131,0.0956,0.969,150.56,17,1960
White Silver Sands,The Bill Black Combo,2:34,4,0.894,0.608,0,-7.224,1,0.0391,0.56,0.14,0.0659,0.96,117.719,16,1960
Beatnik Fly,Johnny and the Hurricanes,2:09,4,0.541,0.62,5,-15.603,1,0.0332,0.888,0.288,0.12,0.931,88.364,14,1960
The Village Of St. Bernadette,Andy Williams,3:21,3,0.228,0.231,8,-12.942,1,0.0292,0.852,0.000002,0.367,0.28,88.024,11,1960
That’s All You Gotta Do,Brenda Lee,3:09,4,0.766,0.485,0,-12.695,1,0.0322,0.108,0.00000663,0.0879,0.965,114.803,11,1960
He’ll Have To Go,Jim Reeves,2:14,3,0.469,0.244,1,-15.702,1,0.0357,0.974,0.0162,0.845,0.577,88.271,10,1960
Because They’re Young,Duane Eddy,1:56,4,0.554,0.6,4,-9.619,1,0.0301,0.0339,0.778,0.2,0.742,120.433,4,1960
Let’s Think About Livin,Bob Luman,2:33,4,0.626,0.809,2,-6.05,1,0.0406,0.248,0.0000716,0.717,0.933,95.991,0,1960
He’ll Have To Stay,Jeanne Black,1:34,4,0.801,0.29,10,-13.307,1,0.0634,0.183,0.876,0.111,0.179,115.973,0,1960
It’s Time To Cry,Paul Anka,1:41,4,0.731,0.646,0,-13.021,1,0.0673,0.00349,0.833,0.0977,0.846,156.029,0,1960
The Old Lamp-Lighter,The Browns,3:19,4,0.24,0.0675,5,-17.702,1,0.0344,0.993,0.000464,0.119,0.228,82.782,0,1960
Together,Connie Francis,2:28,4,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,92,1961
Last Night,The Mar-Keys,2:43,4,0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,84,1961
Runaway,Del Shannon,9:07,4,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,81,1961
Ya Ya,Lee Dorsey,1:46,4,0.728,0.442,1,-10.095,1,0.0565,0.000487,0.00000821,0.149,0.441,142.025,79,1961
Hurt,Timi Yuro,2:20,4,0.553,0.786,8,-5.477,0,0.0325,0.0438,0,0.119,0.673,149.968,78,1961
Dum Dum,Brenda Lee,2:31,4,0.697,0.395,6,-13.58,1,0.0281,0.428,0.653,0.173,0.876,113.589,75,1961
Stand By Me,Ben E. King,3:39,4,0.71,0.701,11,-5.415,1,0.0317,0.0105,0,0.178,0.564,134.039,74,1961
Without You,Johnny Tillotson,2:41,4,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,74,1961
Crying,Roy Orbison,2:53,4,0.627,0.796,10,-5.192,1,0.08,0.116,0,0.109,0.33,125.99,74,1961
The Fly,Chubby Checker,2:27,4,0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,73,1961
Raindrops,Dee Clark,3:08,4,0.804,0.539,7,-5.949,0,0.0391,0.0972,0,0.347,0.12,111.975,73,1961
Hit The Road Jack,Ray Charles,1:59,4,0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,73,1961
Angel Baby,Rosie and the Originals,2:22,4,0.798,0.664,5,-6.043,0,0.102,0.282,0.294,0.135,0.555,140.038,71,1961
This Time,Troy Shondell,3:40,4,0.555,0.931,8,-2.969,1,0.0367,0.0162,0,0.405,0.723,132.073,71,1961
Wheels,The String-A-Longs,3:27,4,0.941,0.387,9,-11.92,1,0.0427,0.184,0.0000288,0.157,0.965,125.021,69,1961
Travelin’ Man,Ricky Nelson,3:17,3,0.387,0.404,7,-6.381,1,0.0319,0.462,0,0.0799,0.285,168.289,68,1961
Emotions,Brenda Lee,2:11,4,0.63,0.631,9,-6.211,1,0.0396,0.0129,0,0.142,0.163,80.512,67,1961
Runaround Sue,Dion,2:51,4,0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.598,79.987,67,1961
Surrender,Elvis Presley,4:13,4,0.524,0.955,0,-7.081,1,0.0411,0.00717,0.00000877,0.659,0.869,133.849,67,1961
Blue Moon,The Marcels,2:50,4,0.925,0.322,11,-9.8,0,0.112,0.103,0,0.137,0.712,129.957,66,1961
I Love How You Love Me,The Paris Sisters,3:04,4,0.692,0.883,7,-4.698,1,0.0582,0.0512,0,0.228,0.614,122.984,65,1961
Think Twice,Brook Benton,3:37,4,0.6,0.243,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,63,1961
The Mountain’s High,Dick and Dee Dee,2:06,4,0.637,0.821,11,-5.065,0,0.0342,0.142,0.0349,0.261,0.734,104.34,63,1961
The Writing On The Wall,Adam Wade,4:32,3,0.316,0.505,1,-9.047,0,0.0456,0.365,0,0.237,0.459,204.479,62,1961
Mexico,Bob Moore,2:58,4,0.78,0.533,11,-12.035,1,0.0291,0.326,0.0000215,0.0944,0.778,116.153,62,1961
Little Sister,Elvis Presley,2:54,4,0.364,0.959,1,-2.955,1,0.0627,0.0113,0.000953,0.411,0.927,161.797,62,1961
I Feel So Bad,Elvis Presley,3:26,4,0.762,0.821,9,-4.17,0,0.0388,0.206,0.000448,0.259,0.769,122.999,62,1961
Will You Love Me Tomorrow,The Shirelles,2:40,4,0.513,0.379,0,-9.679,1,0.0314,0.686,0.0000262,0.417,0.509,135.756,62,1961
Mama Said,The Shirelles,4:49,4,0.791,0.759,10,-7.378,0,0.129,0.0314,0.674,0.255,0.619,102.382,62,1961
Dedicated To The One I Love,The Shirelles,2:58,4,0.396,0.452,7,-8.809,1,0.0326,0.814,0,0.192,0.307,103.264,61,1961
Michael,The Highwaymen,1:11,4,0.644,0.656,9,-3.437,1,0.102,0.631,0,0.275,0.78,104.907,59,1961
Poetry In Motion,Johnny Tillotson,3:11,4,0.781,0.597,11,-6.771,0,0.195,0.0591,0.0000741,0.0758,0.967,160.067,58,1961
Take Good Care Of My Baby,Bobby Vee,2:29,4,0.487,0.441,1,-11.297,1,0.0722,0.761,0,0.15,0.604,82.707,57,1961
I Like It Like That,Chris Kenner,3:08,4,0.742,0.784,1,-5.458,1,0.0552,0.0308,0,0.354,0.65,101.002,57,1961
Hello Mary Lou,Ricky Nelson,2:18,4,0.602,0.633,9,-9.756,1,0.0314,0.502,0,0.0614,0.931,98.995,57,1961
Are You Lonesome Tonight?,Elvis Presley,3:06,3,0.433,0.0748,0,-19.351,1,0.049,0.92,0.00104,0.105,0.193,73.093,56,1961
Calendar Girl,Neil Sedaka,2:39,4,0.703,0.649,8,-7.727,0,0.0312,0.397,0,0.209,0.862,122.719,56,1961
Exodus,Ferrante & Teicher,2:06,4,0.607,0.749,2,-4.497,1,0.0729,0.00645,0.0000727,0.234,0.179,121.831,55,1961
Calcutta,Lawrence Welk,6:53,4,0.509,0.512,1,-7.117,1,0.0276,0.0106,0.000801,0.121,0.159,130.022,55,1961
Spanish Harlem,Ben E. King,2:54,4,0.608,0.594,2,-11.86,1,0.0435,0.32,0.0000475,0.129,0.789,125.166,53,1961
Big Bad John,Jimmy Dean,3:02,4,0.516,0.457,8,-12.609,1,0.184,0.596,0,0.106,0.455,173.934,53,1961
Hello Walls,Faron Young,2:26,4,0.62,0.406,0,-10.421,1,0.0281,0.722,0.00000673,0.114,0.695,101.489,52,1961
Apache,Jørgen Ingmann,6:13,4,0.827,0.928,7,-7.266,1,0.133,0.332,0,0.0576,0.261,115.023,48,1961
Ebony Eyes,The Everly Brothers,3:32,4,0.698,0.676,11,-11.717,1,0.0277,0.0101,0.0000257,0.112,0.961,116.486,48,1961
You’re Sixteen,Johnny Burnette,2:49,4,0.665,0.629,8,-12.852,1,0.0441,0.0381,0.0000184,0.0637,0.856,124.265,47,1961
Walk Right Back,The Everly Brothers,2:19,4,0.625,0.358,1,-13.199,1,0.0342,0.749,0,0.0593,0.871,135.797,47,1961
My True Story,The Jive Five,3:10,4,0.453,0.587,4,-7.584,1,0.0406,0.475,0,0.109,0.625,145.334,47,1961
Shop Around,The Miracles,2:50,4,0.552,0.7,7,-4.533,1,0.0295,0.809,0,0.805,0.901,132.005,47,1961
Wings Of A Dove,Ferlin Husky,2:19,3,0.471,0.56,4,-11.716,1,0.0405,0.469,0,0.123,0.925,184.41,46,1961
"Corinna, Corinna",Ray Peterson,3:02,4,0.623,0.286,9,-13.288,1,0.0991,0.486,0.0000444,0.0884,0.734,79.106,46,1961
(I Don’t Know Why) But I Do,Clarence “Frogman” Henry,2:21,4,0.662,0.535,10,-5.457,1,0.027,0.563,0,0.125,0.83,109.695,45,1961
Where The Boys Are,Connie Francis,2:37,3,0.366,0.408,0,-4.85,1,0.0301,0.81,0,0.328,0.378,108.819,45,1961
San Antonio Rose,Floyd Cramer,2:21,4,0.569,0.133,11,-20.378,1,0.037,0.636,0.00000165,0.115,0.721,97.062,45,1961
A Hundred Pounds Of Clay,Gene McDaniels,2:22,4,0.684,0.389,0,-10.933,1,0.035,0.604,0,0.369,0.824,129.06,45,1961
Don’t Worry,Marty Robbins,2:52,4,0.867,0.707,2,-7.236,1,0.107,0.0174,0.000232,0.142,0.481,97.989,45,1961
Running Scared,Roy Orbison,2:12,3,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,45,1961
On The Rebound,Floyd Cramer,2:11,4,0.804,0.479,7,-8.356,1,0.0285,0.631,0.00504,0.111,0.968,106.429,43,1961
Wooden Heart,Joe Dowell,2:01,4,0.647,0.336,3,-8.517,1,0.0645,0.8,0,0.0719,0.905,164.249,43,1961
Last Date,Floyd Cramer,2:26,3,0.296,0.287,0,-13.01,1,0.0345,0.701,0.00121,0.153,0.716,205.4,42,1961
Rubber Ball,Bobby Vee,4:04,4,0.444,0.263,5,-12.276,1,0.0251,0.644,0.00000149,0.867,0.19,77.158,41,1961
Pretty Little Angel Eyes,Curtis Lee,2:45,4,0.624,0.565,1,-8.164,0,0.0542,0.306,0,0.367,0.95,106.343,40,1961
Let’s Get Together,Hayley Mills,3:14,4,0.745,0.897,11,-3.545,0,0.0705,0.0821,0,0.091,0.349,114.938,40,1961
Yellow Bird,Arthur Lyman,5:39,4,0.596,0.655,4,-6.701,1,0.0283,0.028,0.571,0.11,0.198,86.49,39,1961
Pony Time,Chubby Checker,2:28,4,0.509,0.702,3,-5.695,1,0.0514,0.526,0,0.124,0.947,154.571,39,1961
Wonderland By Night,Bert Kaempfert,3:15,4,0.211,0.233,4,-10.208,1,0.0291,0.907,0.919,0.279,0.239,71.351,38,1961
Tossin’ And Turnin’,Bobby Lewis,4:14,4,0.434,0.902,3,-2.435,1,0.0787,0.266,0,0.175,0.657,71.814,38,1961
Please Love Me Forever,Cathy Jean and the Roommates,2:34,3,0.355,0.402,10,-9.468,1,0.032,0.806,0.00453,0.179,0.496,110.902,38,1961
Hats Off To Larry,Del Shannon,2:02,4,0.44,0.719,11,-4.469,1,0.0348,0.664,0.00000329,0.322,0.635,79.99,37,1961
Moody River,Pat Boone,2:37,4,0.767,0.269,3,-14.983,1,0.0333,0.774,0,0.0875,0.534,129.921,37,1961
Sad Movies (MAKE Me Cry),Sue Thompson,3:19,4,0.61,0.272,2,-10.071,1,0.0286,0.888,0.00000711,0.245,0.608,107.116,37,1961
Every Beat Of My Heart,the Pips,1:54,3,0.338,0.362,0,-13.103,1,0.0323,0.812,0.0000252,0.229,0.425,173.985,37,1961
"Who Put The Bomp (IN The Bomp, Bomp, Bomp)",Barry Mann,2:48,4,0.443,0.927,10,-5.625,1,0.124,0.604,0,0.339,0.893,173.748,35,1961
Mother-In-Law,Ernie K-Doe,2:31,4,0.811,0.528,3,-9.721,1,0.0332,0.784,0.0000158,0.141,0.942,130.191,35,1961
Take Good Care Of Her,Adam Wade,2:29,3,0.378,0.253,8,-12.243,1,0.036,0.912,0,0.109,0.423,100.053,34,1961
Those Oldies But Goodies,Little Caesar & the Romans,3:19,3,0.475,0.257,7,-16.965,1,0.0305,0.979,0.00000368,0.547,0.508,96.761,34,1961
Portrait Of My Love,Steve Lawrence,2:45,4,0.271,0.123,0,-15.139,1,0.0318,0.846,0.00000586,0.34,0.128,78.916,34,1961
Bristol Stomp,The Dovells,2:18,4,0.655,0.77,2,-6.338,1,0.0649,0.626,0,0.541,0.9,105.394,34,1961
Many Tears Ago,Connie Francis,1:54,4,0.684,0.491,3,-3.466,1,0.0294,0.792,0,0.261,0.86,127.125,33,1961
Quarter To Three,Gary U.S. Bonds,2:30,4,0.455,0.819,0,-9.322,0,0.184,0.925,0.0441,0.84,0.902,163.686,33,1961
Gee Whiz (LOOK At His Eyes),Carla Thomas,2:21,3,0.228,0.358,5,-7.161,1,0.0306,0.582,0.00000284,0.129,0.324,179.652,32,1961
Let’s Twist Again,Chubby Checker,2:36,4,0.63,0.814,5,-6.793,1,0.0651,0.311,0,0.0189,0.955,175.948,32,1961
A Thousand Stars,Kathy Young & the Innocents,5:05,4,0.164,0.365,2,-10.228,0,0.0333,0.0357,0.00485,0.236,0.0513,140.01,32,1961
Lonely Teenager,Dion,2:15,4,0.352,0.468,10,-9.412,1,0.0313,0.304,0,0.462,0.638,71.858,31,1961
He Will Break Your Heart,Jerry Butler,2:50,4,0.612,0.601,8,-9.095,0,0.0425,0.22,0,0.446,0.692,130.939,31,1961
One Mint Julep,Ray Charles,3:05,4,0.66,0.666,3,-11.056,1,0.0566,0.712,0.0708,0.317,0.865,128.255,31,1961
Daddy’s Home,Shep and the Limelites,3:17,4,0.327,0.816,8,-7.88,1,0.318,0.804,0.00031,0.974,0.636,205.747,30,1961
You Can Depend On Me,Brenda Lee,2:38,4,0.718,0.732,7,-9.582,1,0.0308,0.34,0,0.236,0.719,104.765,28,1961
Does Your Chewing Gum Lose Its Flavour (ON The Bedpost Overnight?),Lonnie Donegan,2:31,4,0.698,0.806,7,-8.681,1,0.104,0.619,0,0.9,0.934,113.811,28,1961
School Is Out,Gary U.S. Bonds,1:49,4,0.685,0.62,8,-6.096,0,0.137,0.658,0,0.203,0.612,148.157,27,1961
Asia Minor,Kokomo,3:01,4,0.45,0.723,5,-8.285,1,0.0357,0.582,0.857,0.193,0.893,147.287,27,1961
You Must Have Been A Beautiful Baby,Bobby Darin,2:11,4,0.714,0.544,7,-15.721,1,0.036,0.753,0.0000764,0.0551,0.973,134.523,23,1961
Breakin’ In A Brand New Broken Heart,Connie Francis,2:38,4,0.385,0.251,0,-7.569,1,0.0276,0.799,0,0.0565,0.308,104.586,23,1961
The Boll Weevil Song,Brook Benton,2:40,4,0.716,0.34,0,-17.01,1,0.0585,0.248,0.00000289,0.309,0.661,133.337,22,1961
Baby Sittin’ Boogie,Buzz Clifford,2:07,3,0.549,0.457,6,-11.628,1,0.0711,0.963,0.0000118,0.209,0.923,139.909,22,1961
North Of Alaska,Johnny Horton,9:13,4,0.551,0.483,7,-9.165,1,0.0534,0.492,0.00238,0.0643,0.555,102.79,17,1961
I’ve Told Every Little Star,Linda Scott,3:34,4,0.524,0.254,1,-14.629,1,0.0324,0.978,0.0783,0.184,0.7,114.09,10,1961
